"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"kLkA/dcrd",0,0,0,0,0,0,0,0,0,0,21,"2018-05-23 21:51:46 UTC","2018-12-28 13:20:32 UTC",18894526,437.373287037037,2,9,997,831
"faelv/dcrd",0,0,0,0,0,0,0,0,0,0,1,"2018-11-20 13:10:45 UTC","2018-11-20 13:10:45 UTC",0,0,NA,NA,NA,NA
"knaxo/dcrd",0,0,0,0,0,0,0,0,0,0,39,"2018-06-13 06:27:29 UTC","2018-06-26 20:35:41 UTC",1174092,27.1780555555556,NA,NA,NA,NA
"nwops/dcrd",0,0,0,0,0,0,0,0,0,0,7,"2018-10-02 19:19:15 UTC","2018-10-10 00:11:36 UTC",622341,14.4060416666667,1,3,229,6
"JFixby/dcrd",0,0,0,0,0,0,0,0,0,0,183,"2018-06-05 15:49:27 UTC","2018-11-12 10:03:37 UTC",13806850,319.603009259259,4,34,6131,3384
"Sarlor/dcrd",0,0,0,0,0,0,0,0,0,0,12,"2018-08-14 09:31:19 UTC","2019-01-04 08:10:17 UTC",12353938,285.970787037037,3,19,54,62
"vctt94/dcrd",0,0,0,0,0,0,0,0,0,0,34,"2018-03-12 11:42:17 UTC","2018-11-30 18:51:58 UTC",22748981,526.596782407407,3,13,538,142
"Zergity/dcrd",0,0,0,0,0,0,0,0,0,0,4,"2018-07-16 08:55:26 UTC","2018-08-03 09:13:07 UTC",1556261,36.0245601851852,NA,NA,NA,NA
"kala/bitcore",0,0,0,0,0,0,0,0,0,0,2,"2018-02-03 10:49:16 UTC","2018-02-10 14:26:44 UTC",617848,14.302037037037,NA,NA,NA,NA
"PicFight/dcrd",0,2,0,0,0,2,8,206,0,0,5,"2018-07-25 19:35:05 UTC","2018-07-25 20:18:18 UTC",2593,0.0600231481481481,NA,NA,NA,NA
"dajohi/authit",0,0,0,0,0,0,0,0,0,0,3,"2018-12-12 15:45:12 UTC","2018-12-12 18:51:11 UTC",11159,0.258310185185185,1,2,13,0
"degeri/authit",0,0,0,0,0,0,0,0,0,0,3,"2018-12-21 06:39:48 UTC","2018-12-26 16:40:34 UTC",468046,10.8343981481481,1,4,4,2
"degeri/dcrweb",0,0,0,0,0,0,0,0,0,0,1,"2018-07-30 15:49:06 UTC","2018-07-30 15:49:06 UTC",0,0,2,3,11,2
"dnldd/gominer",0,0,0,0,0,0,0,0,0,0,1,"2018-08-10 18:12:01 UTC","2018-08-11 04:06:56 UTC",35695,0.826273148148148,0,1,37,14
"ggoranov/dcrd",0,0,0,0,0,0,0,0,0,0,1,"2018-10-03 09:59:29 UTC","2018-10-10 11:19:33 UTC",609604,14.1112037037037,1,5,6,1660
"nwops/dcrdata",0,0,0,0,0,0,0,0,0,0,39,"2018-08-22 02:41:01 UTC","2018-08-30 02:25:46 UTC",690285,15.9788194444444,2,11,817,132
"pinqy520/dcrd",0,0,0,0,0,0,0,0,0,0,1,"2018-06-02 03:52:38 UTC","2018-06-02 03:52:38 UTC",0,0,NA,NA,NA,NA
"s-ben/dcrdata",0,0,0,0,0,0,0,0,0,0,7,"2018-09-19 22:30:12 UTC","2018-10-09 22:54:44 UTC",1729472,40.0340740740741,2,12,2490,92
"s-ben/dcrdocs",0,1,0,0,0,1,2,144,272,0,34,"2018-08-30 19:34:24 UTC","2018-12-21 05:48:04 UTC",9717220,224.935648148148,23,124,2248,1151
"vctt94/authit",0,0,0,0,0,0,0,0,0,0,1,"2018-12-14 18:32:55 UTC","2018-12-14 19:12:17 UTC",2362,0.0546759259259259,1,4,71,2
"EXCCoin/base58",0,0,0,0,0,0,0,0,0,0,1,"2018-05-15 08:27:35 UTC","2018-09-14 08:18:12 UTC",10540237,243.986967592593,NA,NA,NA,NA
"JFixby/dcrdata",0,1,0,0,0,1,2,40,32,0,336,"2018-05-28 13:41:25 UTC","2018-08-20 18:41:12 UTC",7275587,168.416365740741,12,107,5802,381
"JFixby/dcrdocs",0,0,0,0,0,0,0,0,0,0,1,"2018-05-22 12:30:13 UTC","2018-05-22 12:30:13 UTC",0,0,1,2,2,2
"dajohi/dcrdata",0,0,0,0,0,0,0,0,0,0,3,"2018-02-27 00:11:17 UTC","2018-06-26 18:43:00 UTC",10344703,239.460717592593,2,6,475,588
"davecgh/dcrlnd",0,0,0,0,0,0,0,0,0,0,1,"2018-05-18 15:38:51 UTC","2018-07-26 22:07:05 UTC",5984894,138.539212962963,NA,NA,NA,NA
"degeri/dcrdata",0,0,0,0,0,0,0,0,0,0,5,"2018-10-10 17:44:46 UTC","2018-11-27 15:14:15 UTC",4141769,95.8742824074074,2,4,7,7
"dmigwi/dcrdata",0,4,0,0,0,3,32,2742,409,0,656,"2018-04-09 18:09:52 UTC","2018-11-14 20:12:17 UTC",18932545,438.253356481481,26,291,19872,5156
"girino/dcrdata",0,0,0,0,0,0,0,0,0,0,6,"2018-03-25 13:50:25 UTC","2018-03-30 04:10:33 UTC",397208,9.19462962962963,1,4,102,57
"hypernoob/dcrd",0,0,3,0,3,0,16,78,64,0,15,"2018-06-08 05:44:37 UTC","2018-07-12 13:37:40 UTC",2965983,68.6570138888889,5,11,87,73
"jcliff/dcrdocs",0,0,0,0,0,0,0,0,0,0,1,"2018-05-03 05:25:42 UTC","2018-05-03 05:25:42 UTC",0,0,0,2,16,2
"jpbriquet/dcrd",0,0,0,0,0,0,0,0,0,0,6,"2018-04-08 08:36:03 UTC","2018-11-03 14:12:58 UTC",18081415,418.551273148148,NA,NA,NA,NA
"kLkA/dcrwallet",0,0,0,0,0,0,0,0,0,0,106,"2018-04-28 20:44:58 UTC","2018-11-12 21:36:09 UTC",17113871,396.154421296296,3,16,819,170
"mc-aeq/gominer",0,0,0,0,0,0,0,0,0,0,4,"2018-04-14 07:49:34 UTC","2018-04-16 15:11:29 UTC",199315,4.61377314814815,NA,NA,NA,NA
"obxium/dcrdocs",0,0,0,0,0,0,0,0,0,0,9,"2018-04-05 15:52:24 UTC","2018-04-12 16:53:56 UTC",608492,14.085462962963,2,6,95,65
"orthomind/dcrd",0,0,0,0,0,0,0,0,0,0,17,"2018-06-20 13:39:55 UTC","2018-07-10 03:41:22 UTC",1692087,39.1686805555556,2,8,192,246
"red010b37/dcrd",0,0,0,0,0,0,0,0,0,0,1,"2018-06-25 08:03:11 UTC","2018-06-25 08:03:11 UTC",0,0,NA,NA,NA,NA
"s-ben/politeia",0,0,0,0,0,0,0,0,0,0,19,"2018-09-12 17:36:57 UTC","2018-12-13 23:11:38 UTC",7972481,184.548171296296,0,6,1629,105
"vkbcel/bitcore",0,0,0,0,0,0,0,0,0,0,5,"2018-08-23 04:03:46 UTC","2018-08-23 05:15:20 UTC",4294,0.0993981481481482,NA,NA,NA,NA
"EveSnow/bitcore",0,0,0,0,0,0,0,0,0,0,7,"2018-09-27 09:31:20 UTC","2018-10-23 02:59:49 UTC",2222909,51.4562268518519,0,6,115396,168
"Guang168/dcrweb",0,0,0,0,0,0,0,0,0,0,2,"2018-12-17 02:36:21 UTC","2018-12-18 01:39:39 UTC",82998,1.92125,1,2,2,2
"ZeroASIC/dcrweb",0,0,0,0,0,0,0,0,0,0,52,"2018-10-24 21:41:41 UTC","2019-01-04 19:54:49 UTC",6217988,143.934907407407,11,76,2449,2171
"aerth/dcrwallet",0,0,0,0,0,0,0,0,0,0,8,"2018-09-28 01:04:15 UTC","2018-10-08 20:04:04 UTC",932389,21.5830787037037,2,4,107,76
"chappjc/dcrdata",0,2,0,0,0,1,5,57,42,0,317,"2018-02-27 00:06:08 UTC","2019-01-05 14:59:15 UTC",27010387,625.240439814815,135,585,38253,22733
"degeri/politeia",0,0,0,0,0,0,0,0,0,0,1,"2018-11-08 07:34:00 UTC","2018-11-08 07:34:00 UTC",0,0,1,2,4,0
"eball/dcrwebapi",0,0,0,0,0,0,0,0,0,0,2,"2018-10-14 10:04:46 UTC","2018-10-21 01:00:36 UTC",572150,13.244212962963,1,3,12,0
"faelv/dcrwallet",0,0,0,0,0,0,0,0,0,0,1,"2018-11-20 13:14:56 UTC","2018-11-20 13:14:56 UTC",0,0,NA,NA,NA,NA
"horus20/bitcore",0,0,0,0,0,0,0,0,0,0,2,"2018-05-07 02:57:53 UTC","2018-08-31 12:06:42 UTC",10055329,232.76224537037,1,2,2,2
"jzbz/dcrandroid",0,0,0,0,0,0,0,0,0,0,1,"2018-12-23 20:38:23 UTC","2018-12-23 20:38:23 UTC",0,0,1,2,4,4
"lealife/insight",0,0,0,0,0,0,0,0,0,0,1,"2018-06-08 08:46:46 UTC","2018-06-08 08:46:46 UTC",0,0,NA,NA,NA,NA
"leon-do/bitcore",0,0,0,0,0,0,0,0,0,0,4,"2019-01-03 01:20:44 UTC","2019-01-03 16:19:54 UTC",53950,1.24884259259259,0,6,14,2
